table1,table2
334050193688464,334090011072507
334050193688465,334090011072535
334050193688466,334090011072537
334050193688467,334090011072538
334050193688468,334090011072539
334050193688469,334090011072540
334050193688472,334090011072541
334050193688474,334090011072596
334050193688475,334090011072597
334050193688476,334090011072603
334050193688479,334090011072604
334050193688480,334090011072605
334050193688482,334090011072606
334050193688484,334090011072607
334050193688486,334090011072615
334050193688487,334090011072617
334050193688489,334090011072620
334050193688490,334090011072621
334050193688491,334090011072638
334050193688493,334090011072641
334050193688494,334090011072661
334050193688495,334090011072667
334050193688498,334090011072695
334050193688500,334090011072707
334050193688501,334090011072766
334050193688509,334090011072767
334050193688510,334090011072797
334050193688512,334090011072802
334050193688519,334090011072804
334050193688521,334090011072810
334050193688523,334090011072826
334050193688524,334090011072829
334050193688526,334090011072830
334050193688527,334090011072831
334050193688528,334090011072832
334050193688529,334090011072845
334050193688530,334090011072846
334050193688531,334090011072878
334050193688532,334090011072879
334050193688533,334090011072881
334050193688535,334090011072882
334050193688540,334090011072897
334050193688542,334090011072914
334050193688543,334090011072924
334050193688546,334090011072925
334050193688549,334090011072926
334050193688552,334090011072932
334050193688553,334090011072933
334050193688554,334090011072934
334050193688555,334090011072951
334050193688559,334090011072961
334050193688560,334090011072967
334050193688561,334090011072968
334050193688562,334090011072979
334050193688563,334090011072980
334050193688564,334090011072983
334050193688565,334090011072985
334050193688567,334090011073003
334050193688568,334090011073067
334050193688569,334090011073069
334050193688575,334090011073073
334050193688576,334090011073084
334050193688577,334090011073085
334050193688579,334090011073098
334050193688580,334090011073099
334050193688583,334090011073111
334050193688585,334090011073112
334050193688588,334090011073114
334050193688590,334090011073115
334050193688591,334090011073133
334050193688594,334090011073134
334050193688595,334090011073136
334050193688599,334090011073137
334050193688605,334090011073138
334050193688606,334090011073140
334050193688607,334090011074545
334050193688609,334090011074546
334050193688610,334090011074547
334050193688611,334090011074548
334050193688619,334090011074549
